ID,Trips,Date_Time_From,Trip_Date,Date_Time_To,work_time,Trip_Hours,Trip_Minutes,Trip_Seconds,Trip_Time,Trip_time_Percent,Off-Trip_Time,Odometer_From,Odometer_To,Total_Miles,Trip_Mileage,Trip_Mileage_Percent,Off_Trip_Mileage,Fare,Surge,Commission,Total_Payment,Work_Time_converted,Rounded_Hours,Earnings_Per_Hour,,
SAT0514,26,5/14/2016 17:50,05/14/16,5/15/2016 4:31,10:40:49,4,36,27,4:36:27,0.4314,6:04:22,186569,186779,210,125.14,0.595904762,84.86,237.26,39.07,-55.27,221.06,10.6803,11,20.1,,
SUN0221,13,2/21/2016 19:44,02/21/16,2/22/2016 4:37,8:53:00,3,0,10,3:00:10,0.338,5:52:50,172616,172841,225.2,102.64,0.455772647,122.56,167.82,,-33.56,134.26,8.8833,9,14.92,,
SUN0228,14,2/28/2016 17:14,02/28/16,2/29/2016 4:25,11:11:00,3,11,17,3:11:17,0.2851,7:59:43,173866,174066,177.4,101.38,0.571476888,76.02,176.27,,-35.25,141.02,11.1833,11,12.82,,
SUN0306,10,3/6/2016 19:22,03/06/16,3/7/2016 4:46,9:24:00,3,8,1,3:08:01,0.3334,6:15:59,175243,175481,238,114.14,0.479579832,123.86,184.11,0,-36.82,147.29,9.4,9,16.37,,
SUN0313,12,3/13/2016 20:35,03/13/16,3/14/2016 6:07,9:31:40,3,38,49,3:38:49,0.3828,5:52:51,176592,176794,202,111.87,0.553811881,90.13,188.5,10.31,-39.77,159.04,9.5278,10,15.9,,
SUN0320,24,3/20/2016 17:27,03/20/16,3/21/2016 6:09,12:41:51,4,26,55,4:26:55,0.3504,8:14:56,177824,178043,219,118.87,0.542785388,100.13,232.25,28.5,-52.14,208.61,12.6975,13,16.05,,
SUN0327,16,3/27/2016 14:39,03/27/16,3/28/2016 4:42,14:03:01,3,28,51,3:28:51,0.2477,10:34:10,178713,178920,207,108.3,0.523188406,98.7,188.4,1.86,-38.04,152.22,14.0503,14,10.87,,
SUN0403,18,4/3/2016 19:31,04/03/16,4/4/2016 6:14,10:42:49,4,38,29,4:38:29,0.4332,6:04:20,179913,180160,247,138.61,0.561174089,108.39,238.29,19.21,-51.5,206,10.7136,11,18.73,,
SUN0410,11,4/10/2016 17:16,04/10/16,4/11/2016 1:00,7:43:17,2,33,3,2:33:03,0.3304,5:10:14,181238,181385,147,82.54,0.561496599,64.46,139.28,3.89,-28.62,114.55,7.7214,8,14.32,,
SUN0417,23,4/17/2016 18:49,04/17/16,4/18/2016 3:39,8:50:10,4,15,32,4:15:32,0.482,4:34:38,182066,182186,120,80.77,0.673083333,39.23,173.29,51.75,-45,180.04,8.8361,9,20,,
SUN0424,19,4/24/2016 18:12,04/24/16,4/25/2016 3:07,8:55:08,3,28,45,3:28:45,0.3901,5:26:23,183269,183404,135,68.11,0.504518519,66.89,144.45,6.79,-30.22,121.02,8.9189,9,13.45,,
SUN0501,19,5/1/2016 20:03,05/01/16,5/2/2016 4:46,8:42:58,4,0,2,4:00:02,0.459,4:42:56,184423,184607,184,118.32,0.643043478,65.68,209,8.27,-43.46,173.81,8.7161,9,19.31,,
SUN0508,15,5/8/2016 20:44,05/08/16,5/9/2016 4:01,7:17:20,2,36,31,2:36:31,0.3579,4:40:49,185553,185683,130,75.19,0.578384615,54.81,138.27,6.21,-28.89,115.59,7.2889,7,16.51,,
SUN0515,20,5/15/2016 19:03,05/15/16,5/16/2016 5:26,10:22:32,3,30,1,3:30:01,0.3374,6:52:31,186803,186982,179,93.38,0.521675978,85.62,176.95,9.99,-37.39,149.55,10.3756,10,14.96,,
THU0218,10,2/18/2016 21:13,02/18/16,2/19/2016 6:16,9:03:00,2,50,30,2:50:30,0.314,6:12:30,172017,172183,165.5,86.04,0.519879154,79.46,146.13,10.76,-31.39,125.5,9.05,9,13.94,,
THU0225,12,2/25/2016 17:10,02/25/16,2/26/2016 5:25,12:15:00,2,24,2,2:24:02,0.196,9:50:58,173225,173386,161.4,51.97,0.321995043,109.43,103.99,,-20.8,83.19,12.25,12,6.93,,
THU0303,9,3/3/2016 19:58,03/03/16,3/4/2016 2:51,6:53:00,1,56,31,1:56:31,0.2821,4:56:29,174640,174737,97,47.74,0.492164948,49.26,88.44,0,-17.68,70.76,6.8833,7,10.11,,
THU0310,10,3/10/2016 20:25,03/10/16,3/11/2016 4:44,8:19:02,2,17,40,2:17:40,0.2759,6:01:22,176008,176133,125,61.57,0.49256,63.43,110.22,5.53,-23.15,92.6,8.3172,8,11.58,,
THU0317,17,3/17/2016 20:36,03/17/16,3/18/2016 6:06,9:30:00,3,34,21,3:34:21,0.3761,5:55:39,177312,177479,167,96.27,0.576467066,70.73,176.21,10.26,-37.29,149.18,9.5,10,14.92,,
THU0324,10,3/24/2016 23:22,03/24/16,3/25/2016 4:43,5:21:08,2,2,28,2:02:28,0.3814,3:18:40,178186,178283,97,54.43,0.561134021,42.57,98.34,2.63,-20.2,80.77,5.3522,5,16.15,,
THU0331,15,3/31/2016 19:44,03/31/16,4/1/2016 4:04,8:19:50,3,23,0,3:23:00,0.4061,4:56:50,179311,179449,138,79.29,0.574565217,58.71,154.66,8.37,-32.61,130.42,8.3306,8,16.3,,
THU0407,16,4/7/2016 20:55,04/07/16,4/8/2016 5:15,8:20:06,3,20,28,3:20:28,0.4009,4:59:38,180680,180847,167,101.03,0.60497006,65.97,176.3,6.15,-36.49,145.96,8.335,8,18.25,,
THU0414,11,4/14/2016 19:30,04/14/16,4/15/2016 4:14,8:44:53,2,3,37,2:03:37,0.2355,6:41:16,181788,181890,90,40.32,0.448,49.68,84.84,0,-16.97,67.87,8.7481,9,7.54,,
THU0421,18,4/21/2016 21:12,04/21/16,4/22/2016 4:48,7:36:43,3,27,5,3:27:05,0.4534,4:09:38,182660,182838,178,90.38,0.507752809,87.62,170.18,11.26,-36.3,145.14,7.6119,8,18.14,,
THU0428,11,4/28/2016 19:44,04/28/16,4/29/2016 3:28,7:43:55,2,52,30,2:52:30,0.3718,4:51:25,183873,184018,145,81.16,0.559724138,63.84,141.6,0,-28.32,113.28,7.7319,8,14.16,,
THU0505,16,5/5/2016 20:25,05/05/16,5/6/2016 6:06,9:40:42,3,15,44,3:15:44,0.3371,6:24:58,185008,185180,172,87.67,0.509709302,84.33,167.48,5.05,-34.5,138.03,9.6783,10,13.8,,
THU0512,17,5/12/2016 20:35,05/12/16,5/13/2016 4:46,8:11:17,3,33,13,3:33:13,0.434,4:38:04,186208,186366,158,86.85,0.549683544,71.15,164.19,0,-32.84,131.35,8.1881,8,16.42,,
TUE0216,13,2/16/2016 20:06,02/16/16,2/17/2016 6:30,10:24:31,3,51,2,3:51:02,0.3699,6:33:29,171559,171765,332.5,115.41,0.347097744,217.09,196.44,,-39.76,159.04,10.4086,10,15.9,,
